löpnummer, tid
532, 237298
533, 237826
534, 237497
535, 239701
536, 237491
537, 237289
538, 237435
539, 237607
540, 237819
541, 237916
542, 237367
543, 237065
544, 237563
545, 237456
546, 237511
547, 236804
548, 237447
549, 237196
550, 237771
551, 238404
552, 239700
553, 244370
554, 247276
555, 237371
556, 237779
557, 388694
558, 239158
559, 239555
560, 237070
561, 237600
562, 237696
563, 237567
564, 237910
565, 237530
566, 237096
567, 237551
568, 242307
569, 237384
570, 236845
571, 237411
572, 237231
573, 237525
574, 237687
575, 238441
576, 236965
577, 237342
578, 237194
579, 237448
580, 237666
581, 256422
582, 237190
583, 237189
584, 239500
585, 237287
586, 237748
587, 236814
588, 236999
589, 236996
590, 237567
591, 237233
592, 377804
593, 237663
594, 236815
595, 236879
596, 237355
597, 237251
598, 236982
599, 237026
600, 239746
601, 237068
602, 244666
603, 242066
604, 241566
605, 240627
606, 239804
607, 240173
608, 239541
609, 239072
610, 238861
611, 238522
612, 238348
613, 246087
614, 248361
615, 238106
616, 240608
617, 238146
618, 238580
619, 238114
620, 237785
621, 237205
622, 238000
623, 238224
624, 237697
625, 237976
626, 378769
627, 237371
628, 237343
629, 237518
630, 237949
631, 237610
632, 240429
633, 236742
634, 237314
635, 237897
636, 254159
637, 237759
638, 237167
639, 237017
640, 237302
641, 237289
642, 237666
643, 237061
644, 237626
645, 237687
646, 242653
647, 242644
648, 243972
649, 240641
650, 250228
651, 246860
652, 238762
653, 239905
654, 238754
655, 251443
656, 260659
657, 248244
658, 238968
659, 238537
660, 238327
661, 378443
662, 237911
663, 237994
664, 258069
665, 238157
666, 237914
667, 238403
668, 242490
669, 241696
670, 241491
671, 240714
672, 239938
673, 239621
674, 239548
675, 239160
676, 240314
677, 238984
678, 238594
679, 239124
680, 240542
681, 238830
682, 238727
683, 238425
684, 237959
685, 238368
686, 238065
687, 238873
688, 238458
689, 238652
690, 243005
691, 241696
692, 240732
693, 241130
694, 240850
695, 239767
696, 242608
697, 239130
698, 238961
699, 239990
700, 238651
701, 238367
702, 238429
703, 238273
704, 238488
705, 238480
706, 238145
707, 238215
708, 237890
709, 237817
710, 238333
711, 242532
712, 244349
713, 241940
714, 241533
715, 240206
716, 240585
717, 240519
718, 239019
719, 239412
720, 238937
721, 238882
722, 239114
723, 238862
724, 238110
725, 238193
726, 238170
727, 239006
728, 240770
729, 241956
730, 375905
731, 238288
732, 238759
733, 238592
734, 238118
735, 237796
736, 237511
737, 237675
738, 237682
739, 238193
740, 237836
741, 237289
742, 237453
743, 237586
744, 240363
745, 237820
746, 238310
747, 237032
748, 238786
749, 237062
750, 237778
751, 237661
752, 237662
753, 254535
754, 237699
755, 236991
756, 237890
757, 237326
758, 237185
759, 237006
760, 239243
761, 237398
762, 237707
763, 237231
764, 239972
765, 237535
766, 236849
767, 237703
768, 237159
769, 237075
770, 237180
771, 236991
772, 237086
773, 237777
774, 237568
775, 238160
776, 240306
777, 237027
778, 237122
779, 237450
780, 237575
781, 237869
782, 237525
783, 240678
784, 237382
785, 237581
786, 237402
787, 236735
788, 237333
789, 236784
790, 237620
791, 237364
792, 237158
793, 238747
794, 237272
795, 236813
796, 237366
797, 237155
798, 242859
799, 385400
800, 241373
801, 241078
802, 240914
803, 239974
804, 240341
805, 239240
806, 238878
807, 239260
808, 242561
809, 255261
810, 238214
811, 238384
812, 238149
813, 238398
814, 237966
815, 237971
816, 237839
817, 239860
818, 237748
819, 237952
820, 242295
821, 241561
822, 240759
823, 240327
824, 240000
825, 242268
826, 239215
827, 238831
828, 239474
829, 238450
830, 239108
831, 238514
832, 238287
833, 238042
834, 238060
835, 237819
836, 238191
837, 238215
838, 237790
839, 237617
840, 237769
841, 238605
842, 243050
843, 241669
844, 241869
845, 240563
846, 239979
847, 240026
848, 239384
849, 239041
850, 238688
851, 239602
852, 238556
853, 238972
854, 255757
855, 238448
856, 237943
857, 256892
858, 238035
859, 238161
860, 237932
861, 237618
862, 237705
863, 238320
864, 242415
865, 241686
866, 240558
867, 239750
868, 387789
869, 239778
870, 239431
871, 238789
872, 241084
873, 238074
874, 238598
875, 238190
876, 238696
877, 238447
878, 237905
879, 237667
880, 237688
881, 238059
882, 238206
883, 238047
884, 237727
885, 242869
886, 243344
887, 241569
888, 240997
889, 242312
890, 270837
891, 239514
892, 239652
893, 239387
894, 238723
895, 238600
896, 238102
897, 238313
898, 238288
899, 238504
900, 238478
901, 237810
902, 237946
903, 238248
904, 253330
905, 238430
906, 238108
907, 237682
908, 237875
909, 237759
910, 238475
911, 238043
912, 237845
913, 237180
914, 237707
915, 237515
916, 238861
917, 237756
918, 237394
919, 237272
920, 237476
921, 240315
922, 237526
923, 237294
924, 236824
925, 237372
926, 237224
927, 237296
928, 237987
929, 237319
930, 237000
931, 237227
932, 237101
933, 237683
934, 237312
935, 236976
936, 237017
937, 379099
938, 237229
939, 237481
940, 237225
941, 236946
942, 236832
943, 236965
944, 236921
945, 237900
946, 237197
947, 236498
948, 236974
949, 237132
950, 238523
951, 237627
952, 237055
953, 240266
954, 236786
955, 255721
956, 238236
957, 237033
958, 236893
959, 236336
960, 236827
961, 236691
962, 237044
963, 236969
964, 236851
965, 236707
966, 236567
967, 237087
968, 237154
969, 239045
970, 236510
971, 236718
972, 243242
973, 242752
974, 241958
975, 240607
976, 241098
977, 239584
978, 239155
979, 239708
980, 239311
981, 238888
982, 238646
983, 238388
984, 238891
985, 241953
986, 242109
987, 238064
988, 238210
989, 238104
990, 238751
991, 238413
992, 238155
993, 237408
994, 254586
995, 237392
996, 238289
997, 238229
998, 238061
999, 237220
1000, 237712
1001, 240905
