löpnummer, tid
1, 2864585
2, 864949
3, 796165
4, 906526
5, 881389
6, 914572
7, 590101
8, 506537
9, 515783
10, 484522
11, 488150
12, 463410
13, 433320
14, 585523
15, 429736
16, 426250
17, 430986
18, 426318
19, 425151
20, 418419
21, 416639
22, 413110
23, 413053
24, 413556
25, 418828
26, 412449
27, 412898
28, 413646
29, 413414
30, 412206
31, 412437
32, 412377
33, 418888
34, 399463
35, 400114
36, 407677
37, 403162
38, 414868
39, 562850
40, 438068
41, 391397
42, 397899
43, 386543
44, 364058
45, 327722
46, 325890
47, 325499
48, 325731
49, 325496
50, 324662
51, 341757
52, 324881
53, 324294
54, 329609
55, 326115
56, 358095
57, 330708
58, 324959
59, 328648
60, 318810
61, 323663
62, 318740
63, 317350
64, 327023
65, 300298
66, 289891
67, 289401
68, 288852
69, 290540
70, 289799
71, 289056
72, 288810
73, 290721
74, 292202
75, 288369
76, 307900
77, 309563
78, 295822
79, 297524
80, 320933
81, 286238
82, 281045
83, 281305
84, 283687
85, 287461
86, 278042
87, 277882
88, 280027
89, 278920
90, 277787
91, 276607
92, 279169
93, 277377
94, 276695
95, 276847
96, 276569
97, 289836
98, 269944
99, 269440
100, 270183
101, 268379
102, 268996
103, 268663
104, 268464
105, 322055
106, 282844
107, 268516
108, 3013119
109, 280648
110, 342368
111, 273669
112, 265400
113, 264056
114, 263704
115, 316853
116, 264699
117, 263168
118, 263463
119, 262438
120, 280331
121, 262808
122, 261611
123, 264244
124, 263295
125, 262383
126, 345125
127, 264191
128, 286726
129, 299785
130, 278561
131, 331304
132, 272148
133, 270639
134, 270558
135, 270444
136, 308788
137, 270130
138, 287305
139, 271491
140, 268490
141, 298936
142, 292932
143, 274491
144, 264937
145, 246744
146, 242099
147, 274481
148, 259874
149, 276117
150, 242964
151, 241980
152, 241273
153, 240545
154, 240505
155, 240407
156, 252748
157, 242264
158, 238251
159, 238134
160, 238311
161, 237644
162, 237037
163, 238476
164, 237861
165, 237196
166, 236979
167, 248328
168, 236019
169, 235858
170, 234627
171, 233686
172, 240221
173, 232849
174, 232016
175, 231383
176, 231004
177, 373432
178, 231494
179, 233538
180, 230613
181, 230399
182, 230362
183, 230488
184, 230386
185, 230776
186, 230060
187, 230096
188, 238001
189, 230162
190, 229915
191, 230057
192, 230111
193, 230070
194, 229716
195, 230459
196, 229372
197, 229280
198, 229409
199, 229643
200, 229454
201, 229679
202, 229364
203, 229849
204, 229202
205, 263117
206, 229896
207, 230726
208, 230035
209, 229682
210, 230142
211, 236611
212, 236120
213, 234701
214, 233796
215, 232602
216, 232883
217, 231983
218, 231430
219, 231000
220, 230668
221, 234233
222, 231047
223, 231397
224, 230101
225, 230338
226, 230307
227, 230195
228, 230237
229, 231309
230, 259231
231, 230075
232, 235985
233, 234747
234, 233827
235, 232954
236, 261572
237, 231793
238, 238637
239, 225131
240, 224654
241, 224282
242, 224079
243, 224223
244, 223989
245, 223878
246, 356636
247, 224017
248, 223440
249, 223595
250, 223688
251, 223464
252, 223564
253, 224585
254, 261592
255, 234456
256, 256820
257, 252004
258, 245089
259, 232995
260, 235737
261, 236031
262, 238910
263, 235698
264, 236441
265, 235876
266, 235772
267, 235810
268, 235332
269, 235734
270, 238315
271, 235769
272, 235612
273, 235763
274, 231884
275, 223657
276, 223809
277, 222890
278, 223108
279, 222993
280, 359092
281, 223439
282, 223234
283, 222959
284, 223094
285, 222879
286, 223328
287, 227300
288, 239896
289, 222882
290, 222706
291, 222859
292, 222744
293, 222787
294, 222870
295, 222758
296, 222668
297, 222869
298, 224008
299, 224617
300, 222640
301, 222974
302, 222891
303, 222653
304, 222538
305, 222769
306, 238108
307, 222524
308, 222814
309, 222669
310, 222587
311, 222650
312, 222994
313, 222687
314, 222699
315, 363374
316, 222948
317, 222383
318, 223282
319, 229910
320, 228484
321, 229837
322, 227359
323, 226118
324, 225575
325, 225331
326, 225094
327, 224237
328, 224232
329, 224877
330, 224286
331, 224334
332, 223907
333, 223772
334, 223516
335, 223393
336, 223597
337, 223559
338, 223612
339, 225898
340, 223784
341, 223045
342, 223268
343, 223330
344, 223153
345, 226208
346, 223410
347, 223074
348, 222881
349, 356467
350, 223413
351, 223502
352, 224056
353, 223075
354, 223138
355, 225783
356, 223090
357, 223128
358, 223291
359, 223804
360, 223079
361, 223122
362, 224890
363, 222691
364, 222784
365, 222612
366, 222664
367, 224784
368, 223431
369, 222926
370, 222553
371, 222714
372, 222664
373, 224688
374, 222962
375, 222746
376, 222902
377, 222819
378, 222441
379, 222305
380, 222634
381, 222847
382, 223031
383, 222667
384, 278760
385, 236681
386, 246862
387, 226604
388, 226162
389, 230679
390, 225289
391, 224766
392, 224192
393, 224051
394, 223654
395, 240242
396, 223563
397, 223712
398, 223510
399, 223306
400, 223214
401, 223160
402, 222984
403, 223096
404, 223347
405, 224425
406, 229281
407, 228200
408, 226816
409, 226286
410, 225720
411, 225328
412, 224830
413, 224692
414, 224570
415, 224303
416, 223650
417, 223713
418, 359710
419, 224806
420, 223546
421, 239440
422, 223592
423, 225359
424, 223012
425, 223426
426, 223533
427, 224010
428, 223328
429, 239869
430, 223181
431, 222921
432, 223087
433, 222936
434, 223815
435, 223203
436, 224311
437, 223113
438, 223230
439, 222997
440, 222974
441, 225466
442, 222936
443, 222701
444, 223646
445, 222685
446, 222777
447, 223072
448, 222956
449, 229418
450, 228520
451, 227606
452, 230059
453, 226171
454, 225421
455, 224915
456, 224673
457, 227461
458, 224218
459, 224064
460, 223788
461, 223660
462, 223673
463, 223645
464, 223444
465, 223469
466, 231873
467, 233615
468, 223396
469, 223541
470, 240478
471, 227131
472, 223572
473, 223591
474, 223312
475, 223180
476, 223269
477, 223201
478, 223222
479, 223025
480, 223331
481, 223413
482, 223021
483, 223160
484, 223094
485, 223059
486, 222933
487, 367348
488, 223286
489, 222811
490, 222928
491, 226514
492, 223617
493, 223091
494, 222771
495, 223200
496, 223839
497, 223065
498, 223108
499, 222977
500, 222989
501, 223115
502, 239334
503, 223005
504, 222873
505, 223430
506, 223070
507, 238738
508, 222822
509, 224677
510, 222842
511, 222935
512, 222465
513, 222996
514, 222733
515, 222628
516, 222506
517, 222819
518, 222716
519, 223689
520, 223041
521, 365716
522, 223030
523, 222670
524, 222474
525, 222604
526, 225927
527, 222690
528, 231958
529, 234287
530, 222634
531, 222464
532, 222676
533, 222604
534, 222558
535, 226003
536, 229832
537, 228590
538, 227492
539, 227525
540, 225531
541, 225412
542, 225451
543, 227428
544, 224440
545, 224118
546, 223922
547, 223697
548, 223847
549, 224007
550, 224423
551, 223950
552, 223642
553, 223238
554, 223587
555, 223496
556, 364445
557, 224953
558, 229078
559, 227830
560, 227176
561, 226119
562, 225362
563, 225006
564, 226061
565, 224786
566, 255183
567, 224167
568, 224076
569, 223523
570, 223498
571, 223887
572, 223427
573, 223759
574, 223831
575, 223265
576, 222988
577, 224659
578, 223456
579, 225220
580, 223386
581, 222817
582, 222787
583, 222697
584, 222849
585, 222818
586, 222965
587, 223177
588, 223050
589, 222602
590, 370685
591, 222923
592, 222659
593, 222753
594, 226428
595, 222793
596, 222671
597, 222689
598, 222737
599, 222621
600, 222619
601, 229247
602, 228221
603, 227246
604, 226856
605, 225683
606, 225219
607, 224936
608, 226121
609, 224943
610, 232639
611, 235064
612, 224111
613, 223584
614, 223545
615, 223937
616, 223643
617, 223418
618, 223943
619, 223245
620, 223518
621, 223359
622, 224177
623, 228966
624, 227850
625, 227500
626, 226384
627, 225462
628, 227737
629, 225262
630, 224445
631, 224100
632, 224271
633, 223863
634, 224021
635, 223810
636, 223493
637, 223380
638, 223513
639, 223647
640, 223537
641, 223341
642, 223601
643, 223239
644, 223624
645, 225535
646, 223118
647, 223082
648, 223011
649, 223049
650, 223228
651, 223042
652, 222923
653, 223263
654, 222849
655, 222925
656, 222828
657, 223764
658, 223150
659, 361080
660, 223531
661, 222784
662, 226177
663, 222948
664, 222967
665, 223064
666, 229412
667, 227496
668, 226580
669, 226397
670, 225841
671, 225401
672, 224740
673, 225086
674, 224446
675, 224327
676, 224158
677, 225306
678, 224217
679, 226674
680, 223892
681, 223928
682, 223874
683, 223518
684, 239350
685, 223666
686, 224068
687, 223796
688, 223696
689, 223417
690, 223238
691, 223166
692, 223403
693, 223162
694, 224722
695, 223254
696, 242316
697, 222868
698, 222905
699, 223099
700, 223081
701, 223814
702, 223022
703, 223238
704, 223193
705, 223073
706, 222793
707, 223114
708, 223088
709, 223419
710, 222990
711, 223434
712, 226607
713, 224869
714, 222716
715, 223101
716, 222726
717, 231116
718, 231927
719, 222743
720, 222826
721, 222881
722, 238186
723, 222750
724, 223508
725, 222970
726, 222903
727, 222953
728, 366027
729, 223037
730, 225222
731, 223071
732, 223233
733, 239832
734, 222875
735, 222698
736, 222621
737, 223008
738, 223187
739, 222797
740, 223807
741, 223025
742, 222674
743, 222533
744, 223130
745, 222969
746, 223875
747, 225965
748, 222724
749, 222647
750, 222574
751, 222777
752, 223144
753, 229457
754, 229758
755, 227415
756, 226485
757, 225795
758, 225268
759, 224610
760, 224449
761, 224621
762, 224088
763, 224292
764, 226997
765, 223664
766, 223627
767, 231461
768, 223683
769, 223699
770, 223661
771, 223403
772, 223246
773, 223277
774, 223774
775, 229314
776, 228470
777, 226877
778, 226523
779, 225985
780, 225802
781, 226275
782, 223939
783, 224426
784, 224107
785, 224669
786, 223802
787, 223681
788, 223555
789, 223632
790, 223679
791, 223510
792, 224507
793, 223420
794, 223061
795, 223931
796, 224715
797, 361067
798, 226961
799, 223580
800, 222980
801, 223628
802, 223042
803, 222726
804, 222968
805, 223072
806, 223163
807, 222966
808, 223756
809, 223115
810, 223118
811, 222659
812, 222954
813, 222954
814, 223124
815, 223328
816, 224466
817, 222839
818, 229565
819, 229102
820, 236716
821, 233717
822, 225694
823, 225300
824, 224715
825, 224435
826, 223895
827, 224069
828, 223766
829, 224046
830, 223588
831, 362935
832, 226242
833, 223354
834, 223037
835, 223482
836, 223134
837, 223328
838, 223313
839, 224505
840, 229146
841, 228198
842, 226883
843, 226047
844, 225629
845, 225131
846, 225291
847, 226708
848, 224072
849, 225681
850, 226669
851, 224256
852, 223568
853, 223681
854, 223586
855, 223376
856, 223424
857, 223329
858, 223270
859, 223305
860, 223279
861, 223825
862, 223203
863, 223173
864, 223265
865, 223089
866, 227540
867, 222794
868, 222961
869, 223748
870, 222928
871, 223016
872, 223063
873, 223083
874, 222920
875, 222924
876, 223762
877, 222698
878, 223181
879, 222953
880, 222969
881, 222648
882, 222954
883, 229432
884, 230043
885, 227300
886, 226388
887, 225637
888, 225604
889, 225124
890, 224804
891, 224256
892, 224028
893, 224354
894, 240183
895, 223757
896, 223508
897, 239602
898, 223597
899, 223472
900, 380670
901, 224059
902, 223311
903, 223369
904, 223979
905, 223178
906, 223190
907, 223473
908, 223489
909, 223123
910, 222963
911, 223025
912, 223355
913, 223203
914, 222929
915, 223261
916, 223332
917, 222996
918, 226641
919, 223192
920, 223217
921, 222971
922, 223932
923, 223194
924, 222899
925, 222896
926, 223352
927, 231536
928, 230544
929, 223095
930, 223817
931, 223113
932, 222831
933, 222559
934, 222791
935, 223159
936, 222815
937, 223108
938, 222971
939, 222566
940, 222754
941, 222686
942, 222777
943, 223027
944, 222485
945, 222993
946, 222604
947, 222557
948, 222716
949, 222829
950, 222837
951, 223090
952, 225907
953, 222833
954, 223001
955, 222508
956, 222725
957, 222852
958, 222898
959, 223140
960, 222644
961, 222764
962, 222334
963, 222594
964, 222506
965, 222846
966, 223135
967, 222740
968, 222876
969, 363925
970, 230040
971, 228238
972, 226978
973, 226913
974, 225707
975, 226247
976, 225255
977, 224884
978, 224350
979, 224162
980, 224420
981, 223983
982, 224994
983, 223983
984, 223563
985, 224554
986, 226286
987, 224691
988, 223746
989, 224162
990, 223456
991, 223778
992, 228882
993, 259073
994, 226699
995, 226397
996, 226027
997, 225262
998, 227082
999, 224417
1000, 223811
1001, 223553
1002, 223571
1003, 226149
1004, 223680
1005, 223513
1006, 223409
1007, 223308
1008, 223135
1009, 222923
1010, 223560
1011, 223314
1012, 223300
1013, 227946
1014, 223146
1015, 223250
1016, 222688
1017, 223014
1018, 223106
1019, 223269
1020, 225591
1021, 223825
1022, 223026
1023, 222771
1024, 222982
1025, 223065
1026, 222784
1027, 222881
1028, 222690
1029, 223593
1030, 222561
1031, 222700
1032, 222726
1033, 222804
1034, 230646
1035, 238052
1036, 228789
1037, 247638
1038, 370623
1039, 226153
1040, 225455
1041, 224900
1042, 224717
1043, 224477
1044, 224227
1045, 224016
1046, 224035
1047, 223989
1048, 223849
1049, 223685
1050, 223699
1051, 223565
1052, 223563
1053, 223650
1054, 251818
1055, 1346781
1056, 332665
1057, 260317
1058, 256816
1059, 255515
1060, 254145
1061, 253504
1062, 252835
1063, 252737
1064, 252492
1065, 452624
1066, 519312
1067, 519350
1068, 519555
1069, 518648
1070, 517892
1071, 518453
1072, 523593
1073, 522359
1074, 516667
1075, 517380
1076, 517288
1077, 516994
1078, 517235
1079, 517175
1080, 522402
1081, 518099
1082, 521781
1083, 516790
1084, 516228
1085, 516599
1086, 516805
1087, 524246
1088, 495792
1089, 486379
1090, 485928
1091, 485850
1092, 486041
1093, 486106
1094, 485721
1095, 486409
1096, 508312
1097, 492681
1098, 486324
1099, 485135
1100, 485513
1101, 485259
1102, 485490
1103, 485787
1104, 507734
1105, 485033
1106, 486299
1107, 485833
1108, 493511
1109, 485445
1110, 485392
1111, 485472
1112, 473580
1113, 457498
1114, 458128
1115, 458323
1116, 457921
1117, 458322
1118, 458185
1119, 458404
1120, 478116
1121, 458259
1122, 458252
1123, 457954
1124, 458466
1125, 458059
1126, 458470
1127, 460278
1128, 458126
1129, 462996
1130, 458300
1131, 458183
1132, 458114
1133, 458397
1134, 459426
1135, 457825
1136, 458666
1137, 463211
1138, 433704
1139, 433733
1140, 433896
1141, 435640
1142, 436877
1143, 433458
1144, 433872
1145, 433905
1146, 437799
1147, 433299
1148, 433790
1149, 434829
1150, 433739
1151, 438516
1152, 433732
1153, 433659
1154, 433493
1155, 443855
1156, 433712
1157, 433530
1158, 434153
1159, 434349
1160, 433517
1161, 433815
1162, 433188
1163, 449684
1164, 452991
1165, 422992
1166, 421300
1167, 422304
1168, 418179
1169, 417286
1170, 417418
1171, 415512
1172, 415941
1173, 419535
1174, 415819
1175, 414699
1176, 416204
1177, 414623
1178, 414458
1179, 413832
1180, 415034
1181, 414009
1182, 413558
1183, 417055
1184, 414452
1185, 424816
1186, 422125
1187, 422512
1188, 419112
1189, 418255
1190, 417291
1191, 416614
1192, 424851
1193, 395905
1194, 395286
1195, 395946
1196, 395224
1197, 394568
1198, 394458
1199, 393981
1200, 394478
1201, 394921
1202, 398114
1203, 397658
1204, 393671
1205, 393540
1206, 396026
1207, 393365
1208, 393440
1209, 394335
1210, 393407
1211, 394950
1212, 396661
1213, 392727
1214, 393060
1215, 392908
1216, 393622
1217, 393902
1218, 393817
1219, 393348
1220, 392470
1221, 392670
1222, 396798
1223, 374943
1224, 375626
1225, 375176
1226, 375832
1227, 375709
1228, 375111
1229, 374790
1230, 375116
1231, 375322
1232, 380339
1233, 374866
1234, 374881
1235, 374310
1236, 374292
1237, 374662
1238, 375184
1239, 375484
1240, 374482
1241, 374506
1242, 374782
1243, 377257
1244, 374409
1245, 376878
1246, 378287
1247, 375687
1248, 374982
1249, 375045
1250, 375583
1251, 375739
1252, 374937
1253, 384498
1254, 358547
1255, 358717
1256, 358310
1257, 358154
1258, 359118
1259, 358512
1260, 358274
1261, 358164
1262, 358450
1263, 358821
1264, 361215
1265, 358799
1266, 358482
1267, 358085
1268, 359155
1269, 358996
1270, 359391
1271, 358606
1272, 358437
1273, 358643
1274, 359356
1275, 361734
1276, 358023
1277, 358299
1278, 357871
1279, 358235
1280, 358424
1281, 359441
1282, 358142
1283, 358169
1284, 358128
1285, 358320
1286, 363313
1287, 343512
1288, 345059
1289, 343914
1290, 343620
1291, 343712
1292, 355030
1293, 353084
1294, 351348
1295, 350015
1296, 348515
1297, 352970
1298, 348016
1299, 346878
1300, 347320
1301, 346476
1302, 346768
1303, 346040
1304, 346974
1305, 346221
1306, 345555
1307, 345436
1308, 348014
1309, 344570
1310, 345241
1311, 344995
1312, 345579
1313, 346243
1314, 347492
1315, 344332
1316, 344462
1317, 344289
1318, 344817
1319, 344969
1320, 349528
1321, 272291
1322, 250612
1323, 250471
1324, 250404
1325, 250550
1326, 250885
1327, 251313
1328, 250498
1329, 250285
1330, 250085
1331, 250154
1332, 250518
1333, 250222
1334, 251594
1335, 290958
1336, 339132
1337, 336410
1338, 335241
1339, 333874
1340, 333535
1341, 333939
1342, 332817
1343, 334449
1344, 332073
1345, 331721
1346, 332240
1347, 333876
1348, 331603
1349, 331561
1350, 332471
1351, 330714
1352, 330889
1353, 330454
1354, 330788
1355, 331805
1356, 334105
1357, 341250
1358, 331326
1359, 316444
1360, 295479
1361, 295746
1362, 295223
1363, 294936
1364, 294998
1365, 295172
1366, 296299
1367, 295358
1368, 294876
1369, 294571
1370, 295429
1371, 295635
1372, 298083
1373, 296049
1374, 298229
1375, 294781
1376, 294511
1377, 294892
1378, 303236
1379, 301585
1380, 300584
1381, 299500
1382, 299248
1383, 298946
1384, 296806
1385, 300146
1386, 296408
1387, 297018
1388, 296025
1389, 297505
1390, 300026
1391, 295727
1392, 295815
1393, 295764
1394, 295420
1395, 295416
1396, 295858
1397, 295310
1398, 303348
1399, 286136
1400, 285235
1401, 285104
1402, 285198
1403, 285318
1404, 284718
1405, 285049
1406, 284607
1407, 285115
1408, 285313
1409, 285358
1410, 284815
1411, 285305
1412, 288943
1413, 284412
1414, 284902
1415, 284930
1416, 284702
1417, 285850
1418, 284919
1419, 285327
1420, 284726
1421, 293284
1422, 291410
1423, 289573
1424, 288322
1425, 291172
1426, 287416
1427, 286896
1428, 287776
1429, 286861
1430, 286306
1431, 286392
1432, 285753
1433, 285651
